sleep_duration,stress_level,heart_rate,physical_activity,caffeine,alcohol,exercise_freq,age,gender,bmi,daily_steps,sleep_disorder,bedtime_hour,rem_pct,deep_pct,awakenings,quality,source
8.65,2.4,79.0,59.8,146.1,0.87,1.0,23.0,1.0,,,,2.0,0.153,0.1898,1.0,0.8417,synthetic
7.47,5.5,82.0,60.9,17.3,3.12,2.0,62.0,1.0,,,,0.16,0.1766,0.1512,3.0,0.6282,synthetic
5.72,3.3,66.0,66.7,222.6,2.85,0.0,55.0,1.0,,,,2.07,0.1935,0.1562,3.0,0.5943,synthetic
8.23,1.2,63.0,11.4,398.0,3.13,3.0,43.0,1.0,,,,20.78,0.0607,0.0736,1.0,0.6817,synthetic
4.92,3.9,74.0,73.7,172.0,2.82,3.0,42.0,1.0,,,,1.19,0.1736,0.2046,2.0,0.5514,synthetic
8.37,7.1,51.0,61.9,396.0,3.58,3.0,66.0,0.0,,,,0.4,0.1816,0.044,9.0,0.5697,synthetic
7.45,5.4,73.0,2.7,50.5,3.13,1.0,22.0,1.0,,,,20.42,0.0705,0.1259,5.0,0.4921,synthetic
5.05,8.5,69.0,30.2,157.0,0.45,6.0,57.0,0.0,,,,22.04,0.1325,0.1915,1.0,0.3263,synthetic
4.9,4.9,68.0,42.0,360.8,1.83,3.0,29.0,1.0,,,,21.51,0.05,0.2663,2.0,0.3654,synthetic
8.25,9.4,50.0,32.5,350.7,2.73,3.0,23.0,1.0,,,,22.84,0.1148,0.1097,1.0,0.4671,synthetic
5.96,4.9,88.0,10.6,129.4,1.63,6.0,48.0,0.0,,,,21.39,0.1837,0.2194,2.0,0.4345,synthetic
8.95,4.5,57.0,18.7,271.4,3.8,3.0,73.0,1.0,,,,21.92,0.1036,0.1172,6.0,0.5288,synthetic
8.31,1.9,55.0,2.2,354.5,1.59,7.0,59.0,0.0,,,,22.07,0.05,0.0962,3.0,0.6306,synthetic
7.99,6.7,65.0,8.4,306.8,4.14,1.0,61.0,1.0,,,,0.2,0.1478,0.0839,3.0,0.5892,synthetic
5.89,3.5,81.0,24.0,251.4,0.73,6.0,58.0,0.0,,,,20.94,0.1345,0.0885,8.0,0.4291,synthetic
8.04,3.2,81.0,73.8,61.0,3.85,7.0,62.0,0.0,,,,21.69,0.0658,0.0719,3.0,0.5021,synthetic
9.24,7.1,70.0,47.4,29.2,0.92,6.0,47.0,1.0,,,,22.22,0.0906,0.1315,4.0,0.5231,synthetic
4.96,6.8,72.0,38.2,245.8,2.64,7.0,25.0,0.0,,,,23.14,0.0714,0.2242,4.0,0.2748,synthetic
6.13,6.8,68.0,59.6,200.1,1.6,5.0,65.0,1.0,,,,20.27,0.05,0.0522,2.0,0.3836,synthetic
5.67,3.8,51.0,48.7,95.2,3.19,4.0,43.0,1.0,,,,2.99,0.1885,0.159,5.0,0.5801,synthetic
6.47,4.4,61.0,11.8,117.1,1.06,6.0,46.0,0.0,,,,22.1,0.05,0.2194,2.0,0.485,synthetic
8.21,4.4,66.0,20.0,156.8,3.98,7.0,39.0,0.0,,,,22.01,0.0651,0.0951,4.0,0.56,synthetic
6.87,6.1,72.0,20.0,198.2,2.87,4.0,28.0,0.0,,,,23.88,0.05,0.0774,1.0,0.4147,synthetic
7.35,7.6,76.0,54.0,156.1,4.79,5.0,70.0,0.0,,,,1.98,0.1322,0.043,4.0,0.4709,synthetic
6.07,5.2,90.0,41.5,154.9,3.56,0.0,62.0,0.0,,,,23.2,0.05,0.1356,2.0,0.3376,synthetic
5.21,8.4,70.0,34.9,46.3,3.04,7.0,54.0,1.0,,,,21.74,0.1265,0.0931,5.0,0.2328,synthetic
5.83,6.3,77.0,50.1,346.2,4.15,6.0,40.0,0.0,,,,23.96,0.05,0.1228,3.0,0.2953,synthetic
8.8,4.0,88.0,87.3,243.7,1.1,1.0,64.0,1.0,,,,23.38,0.0574,0.1681,5.0,0.5819,synthetic
